name,normalized_name,semesters,source_pages
Техника академической презентации,техника академической презентации,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Технологии «Фабрик Будущего»,технологии «фабрик будущего»,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Технологии научно-технического перевода (английский язык уровень A2),технологии научно-технического перевода (английский язык уровень a2),2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Технологии эффективной коммуникации,технологии эффективной коммуникации,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Толерантность,толерантность,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Управление качеством бизнес-приложений,управление качеством бизнес-приложений,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Философия карьеры и карьерная компетентность,философия карьеры и карьерная компетентность,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Французский язык и культура для начинающих (уровень А1),французский язык и культура для начинающих (уровень а1),2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Хранение и обработка данных,хранение и обработка данных,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Цифровая гигиена профессионального пространства,цифровая гигиена профессионального пространства,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Цифровая история,цифровая история,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Цифровой маркетинг и социальные сети,цифровой маркетинг и социальные сети,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Цифровые образовательные технологии,цифровые образовательные технологии,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Цифровые технологии визуализации информации,цифровые технологии визуализации информации,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Цифровые технологии саморазвития,цифровые технологии саморазвития,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Частная и общественная жизнь в Древней Греции и Риме,частная и общественная жизнь в древней греции и риме,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Численные методы решения инженерных задач,численные методы решения инженерных задач,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Швеция: культура и язык (Уровень А1.1),швеция: культура и язык (уровень а1.1),2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Экологическая безопасность и общественное здоровье,экологическая безопасность и общественное здоровье,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Экологический менеджмент,экологический менеджмент,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Экологический мониторинг,экологический мониторинг,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Экология Арктики и циркумполярных территорий,экология арктики и циркумполярных территорий,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Экология севера России,экология севера россии,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Экология человека,экология человека,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Этика и культура семейных отношений,этика и культура семейных отношений,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Этика научного исследования,этика научного исследования,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Эффективная межкультурная деловая коммуникация,эффективная межкультурная деловая коммуникация,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
